in:_depth,in:_dist_between_,in:_angle_,out:R,img,threeD
0.2,0.2,0,1951.979,/data/_depth0.2__dist_between_0.2__angle_0_Colibri.png,/data/_depth0.2__dist_between_0.2__angle_0.json
0.1,0.1,0,1951.645,/data/_depth0.1__dist_between_0.1__angle_0_Colibri.png,/data/_depth0.1__dist_between_0.1__angle_0.json
0.2,0.1,0,1948.371,/data/_depth0.2__dist_between_0.1__angle_0_Colibri.png,/data/_depth0.2__dist_between_0.1__angle_0.json
0.1,0.2,0,1955.719,/data/_depth0.1__dist_between_0.2__angle_0_Colibri.png,/data/_depth0.1__dist_between_0.2__angle_0.json
0.1,0.3,0,1957.98,/data/_depth0.1__dist_between_0.3__angle_0_Colibri.png,/data/_depth0.1__dist_between_0.3__angle_0.json
0.2,0.3,0,1954.295,/data/_depth0.2__dist_between_0.3__angle_0_Colibri.png,/data/_depth0.2__dist_between_0.3__angle_0.json
0.1,0.4,0,1959.434,/data/_depth0.1__dist_between_0.4__angle_0_Colibri.png,/data/_depth0.1__dist_between_0.4__angle_0.json
0.2,0.4,0,1956.028,/data/_depth0.2__dist_between_0.4__angle_0_Colibri.png,/data/_depth0.2__dist_between_0.4__angle_0.json
0.1,0.5,0,1960.236,/data/_depth0.1__dist_between_0.5__angle_0_Colibri.png,/data/_depth0.1__dist_between_0.5__angle_0.json
0.2,0.5,0,1957.029,/data/_depth0.2__dist_between_0.5__angle_0_Colibri.png,/data/_depth0.2__dist_between_0.5__angle_0.json
0.1,0.1,15,1949.927,/data/_depth0.1__dist_between_0.1__angle_15_Colibri.png,/data/_depth0.1__dist_between_0.1__angle_15.json
0.2,0.1,15,1947.089,/data/_depth0.2__dist_between_0.1__angle_15_Colibri.png,/data/_depth0.2__dist_between_0.1__angle_15.json
0.1,0.2,15,1954.26,/data/_depth0.1__dist_between_0.2__angle_15_Colibri.png,/data/_depth0.1__dist_between_0.2__angle_15.json
0.2,0.2,15,1950.139,/data/_depth0.2__dist_between_0.2__angle_15_Colibri.png,/data/_depth0.2__dist_between_0.2__angle_15.json
0.1,0.3,15,1956.773,/data/_depth0.1__dist_between_0.3__angle_15_Colibri.png,/data/_depth0.1__dist_between_0.3__angle_15.json
0.2,0.3,15,1952.619,/data/_depth0.2__dist_between_0.3__angle_15_Colibri.png,/data/_depth0.2__dist_between_0.3__angle_15.json
0.1,0.4,15,1958.564,/data/_depth0.1__dist_between_0.4__angle_15_Colibri.png,/data/_depth0.1__dist_between_0.4__angle_15.json
0.2,0.4,15,1954.602,/data/_depth0.2__dist_between_0.4__angle_15_Colibri.png,/data/_depth0.2__dist_between_0.4__angle_15.json
0.2,0.5,15,1955.76,/data/_depth0.2__dist_between_0.5__angle_15_Colibri.png,/data/_depth0.2__dist_between_0.5__angle_15.json
0.1,0.1,30,1948.616,/data/_depth0.1__dist_between_0.1__angle_30_Colibri.png,/data/_depth0.1__dist_between_0.1__angle_30.json
0.2,0.1,30,1946.668,/data/_depth0.2__dist_between_0.1__angle_30_Colibri.png,/data/_depth0.2__dist_between_0.1__angle_30.json
0.1,0.2,30,1952.922,/data/_depth0.1__dist_between_0.2__angle_30_Colibri.png,/data/_depth0.1__dist_between_0.2__angle_30.json
0.2,0.2,30,1948.719,/data/_depth0.2__dist_between_0.2__angle_30_Colibri.png,/data/_depth0.2__dist_between_0.2__angle_30.json
0.1,0.3,30,1955.712,/data/_depth0.1__dist_between_0.3__angle_30_Colibri.png,/data/_depth0.1__dist_between_0.3__angle_30.json
0.2,0.3,30,1951.019,/data/_depth0.2__dist_between_0.3__angle_30_Colibri.png,/data/_depth0.2__dist_between_0.3__angle_30.json
0.1,0.4,30,1957.925,/data/_depth0.1__dist_between_0.4__angle_30_Colibri.png,/data/_depth0.1__dist_between_0.4__angle_30.json
0.2,0.4,30,1953.354,/data/_depth0.2__dist_between_0.4__angle_30_Colibri.png,/data/_depth0.2__dist_between_0.4__angle_30.json
0.1,0.5,30,1959.02,/data/_depth0.1__dist_between_0.5__angle_30_Colibri.png,/data/_depth0.1__dist_between_0.5__angle_30.json
0.2,0.5,30,1954.86,/data/_depth0.2__dist_between_0.5__angle_30_Colibri.png,/data/_depth0.2__dist_between_0.5__angle_30.json
0.1,0.1,45,1947.512,/data/_depth0.1__dist_between_0.1__angle_45_Colibri.png,/data/_depth0.1__dist_between_0.1__angle_45.json
0.2,0.1,45,1946.208,/data/_depth0.2__dist_between_0.1__angle_45_Colibri.png,/data/_depth0.2__dist_between_0.1__angle_45.json
0.1,0.2,45,1952.042,/data/_depth0.1__dist_between_0.2__angle_45_Colibri.png,/data/_depth0.1__dist_between_0.2__angle_45.json
0.2,0.2,45,1947.569,/data/_depth0.2__dist_between_0.2__angle_45_Colibri.png,/data/_depth0.2__dist_between_0.2__angle_45.json
0.1,0.3,45,1955.142,/data/_depth0.1__dist_between_0.3__angle_45_Colibri.png,/data/_depth0.1__dist_between_0.3__angle_45.json
0.2,0.3,45,1949.774,/data/_depth0.2__dist_between_0.3__angle_45_Colibri.png,/data/_depth0.2__dist_between_0.3__angle_45.json
0.1,0.4,45,1957.595,/data/_depth0.1__dist_between_0.4__angle_45_Colibri.png,/data/_depth0.1__dist_between_0.4__angle_45.json
0.2,0.4,45,1952.418,/data/_depth0.2__dist_between_0.4__angle_45_Colibri.png,/data/_depth0.2__dist_between_0.4__angle_45.json
0.1,0.5,45,1958.85,/data/_depth0.1__dist_between_0.5__angle_45_Colibri.png,/data/_depth0.1__dist_between_0.5__angle_45.json
0.2,0.5,45,1954.329,/data/_depth0.2__dist_between_0.5__angle_45_Colibri.png,/data/_depth0.2__dist_between_0.5__angle_45.json
0.1,0.1,60,1946.537,/data/_depth0.1__dist_between_0.1__angle_60_Colibri.png,/data/_depth0.1__dist_between_0.1__angle_60.json
0.2,0.1,60,1945.574,/data/_depth0.2__dist_between_0.1__angle_60_Colibri.png,/data/_depth0.2__dist_between_0.1__angle_60.json
0.1,0.2,60,1951.416,/data/_depth0.1__dist_between_0.2__angle_60_Colibri.png,/data/_depth0.1__dist_between_0.2__angle_60.json
0.2,0.2,60,1946.512,/data/_depth0.2__dist_between_0.2__angle_60_Colibri.png,/data/_depth0.2__dist_between_0.2__angle_60.json
0.1,0.3,60,1954.835,/data/_depth0.1__dist_between_0.3__angle_60_Colibri.png,/data/_depth0.1__dist_between_0.3__angle_60.json
0.2,0.3,60,1948.881,/data/_depth0.2__dist_between_0.3__angle_60_Colibri.png,/data/_depth0.2__dist_between_0.3__angle_60.json
0.1,0.4,60,1957.605,/data/_depth0.1__dist_between_0.4__angle_60_Colibri.png,/data/_depth0.1__dist_between_0.4__angle_60.json
0.2,0.4,60,1952.021,/data/_depth0.2__dist_between_0.4__angle_60_Colibri.png,/data/_depth0.2__dist_between_0.4__angle_60.json
0.1,0.5,60,1959.006,/data/_depth0.1__dist_between_0.5__angle_60_Colibri.png,/data/_depth0.1__dist_between_0.5__angle_60.json
0.2,0.5,60,1954.068,/data/_depth0.2__dist_between_0.5__angle_60_Colibri.png,/data/_depth0.2__dist_between_0.5__angle_60.json